,base,clouds: all,cod,coord: lat,coord: lon,dt,id,main: grnd_level,main: humidity,main: pressure,main: sea_level,main: temp,main: temp_max,main: temp_min,name,rain: 3h,sys: country,sys: id,sys: message,sys: sunrise,sys: sunset,sys: type,visibility,weather: description,weather: icon,weather: id,weather: main,wind: deg,wind: gust,wind: speed
100,stations,8,200,4.42,-7.36,1533444255,2281120,1027.33,100,1027.33,1028.45,76.9,76.9,76.9,Tabou,0.125,CI,8340,0.0039,1533450394,1533494654,1,10000,clear sky,02n,800,Clear,154.501,15.9,10.58
101,stations,80,200,29.28,82.18,1533444255,1283285,680.88,92,680.88,1014.95,49.63,49.63,49.63,Jumla,0.125,NP,8340,0.0355,1533426829,1533475223,1,10000,broken clouds,04d,803,Clouds,86.5009,15.9,1.63
102,stations,0,200,-46.13,167.69,1533444255,2180815,1003.01,100,1003.01,1028.73,44.32,44.32,44.32,Tuatapere,0.125,NZ,8340,0.0037,1533413059,1533448004,1,10000,clear sky,01d,800,Clear,123.001,15.9,2.42
103,stations,56,200,54.05,40.44,1533444256,535744,1005.53,62,1005.53,1021.6,80.41,80.41,80.41,Dmitriyevka,0.125,RU,8340,0.0034,1533433091,1533488946,1,10000,broken clouds,04d,803,Clouds,268.501,15.9,6.55
104,stations,92,200,57.28,55.46,1533444256,514706,1001.96,78,1001.96,1021.76,59.08,59.08,59.08,Osa,0.73,RU,8340,0.003,1533428598,1533486215,1,10000,light rain,10d,500,Rain,81.0009,15.9,3.98
105,stations,40,200,35.74,139.53,1533441600,1850144,1001.96,59,1003.0,1021.76,92.73,95.0,89.6,Nishihara,0.73,JP,7610,0.0041,1533412355,1533462163,1,10000,scattered clouds,03d,802,Clouds,180.0,9.3,8.05
106,stations,44,200,52.21,24.36,1533441600,627145,1001.96,88,1014.0,1021.76,64.4,64.4,64.4,Kobryn,0.73,BY,7372,0.0131,1533437386,1533492375,1,6000,scattered clouds,03d,802,Clouds,270.0,9.3,4.47
107,stations,92,200,-22.43,-151.33,1533444257,4034188,1021.9,100,1021.9,1021.92,69.88,69.88,69.88,Moerai,6.615,PF,7372,0.0047,1533486967,1533527197,1,6000,moderate rain,10n,501,Rain,11.5009,9.3,15.84
108,stations,80,200,60.75,-137.51,1533444257,5969025,904.36,66,904.36,1029.1,56.74,56.74,56.74,Haines Junction,6.615,CA,7372,0.0038,1533473796,1533533613,1,6000,broken clouds,04n,803,Clouds,184.501,9.3,2.19
109,stations,24,200,60.37,92.63,1533444258,1489656,970.43,76,970.43,1015.84,59.08,59.08,59.08,Teya,6.615,RU,7372,0.0046,1533418614,1533478339,1,6000,few clouds,02d,801,Clouds,248.001,9.3,6.22
110,stations,0,200,-7.72,109.9,1533444258,1638981,1017.04,70,1017.04,1026.3,80.05,80.05,80.05,Kutoarjo,6.615,ID,7372,0.0214,1533423145,1533465629,1,6000,clear sky,01d,800,Clear,140.001,9.3,14.83
